DOY	LAI	umid	rh	ta	tmax	tmin	vpd	rn	rs	par	sw	tm	ano
159 	1,62 	0,16 	59,83 	22,15 	29,50 	14,80 	1,17 	10,53 	16,41 	8,04 	8,04 	1,33 	1
160 	1,64 	0,14 	59,89 	19,05 	26,80 	11,30 	0,98 	13,31 	22,67 	11,11 	8,02 	1,65 	1
161 	1,67 	0,04 	41,57 	23,50 	34,50 	12,50 	2,02 	16,96 	29,30 	14,36 	7,99 	1,70 	1
162 	1,70 	0,68 	21,11 	22,35 	29,10 	15,60 	2,29 	16,19 	31,06 	15,22 	7,97 	1,77 	1
163 	1,73 	0,61 	22,78 	20,50 	31,60 	9,40 	2,25 	16,13 	30,43 	14,91 	7,95 	1,88 	1
164 	1,75 	0,78 	21,68 	21,85 	33,60 	10,10 	2,52 	14,82 	28,32 	13,88 	7,93 	1,83 	1
165 	1,78 	0,87 	22,55 	24,15 	35,80 	12,50 	2,84 	14,61 	27,75 	13,60 	7,90 	1,83 	1
166 	1,81 	0,56 	24,19 	21,20 	29,10 	13,30 	2,11 	16,33 	30,73 	15,06 	7,88 	1,78 	1
167 	1,83 	0,26 	25,33 	21,00 	29,90 	12,10 	2,10 	15,45 	29,08 	14,25 	7,85 	1,77 	1
168 	1,86 	0,07 	23,87 	22,85 	33,60 	12,10 	2,52 	15,87 	29,73 	14,57 	7,81 	1,73 	1
169 	1,88 	0,19 	21,42 	24,50 	34,90 	14,10 	2,83 	14,98 	28,59 	14,01 	7,77 	1,65 	1
170 	1,91 	0,15 	23,94 	26,30 	36,20 	16,40 	2,99 	13,99 	26,42 	12,94 	7,72 	1,57 	1
171 	1,93 	0,20 	32,85 	26,75 	34,50 	19,00 	2,57 	12,08 	21,63 	10,60 	7,69 	1,44 	1
172 	1,96 	0,27 	26,45 	26,40 	34,90 	17,90 	2,81 	13,61 	25,45 	12,47 	7,64 	1,50 	1
173 	1,98 	0,26 	53,29 	24,15 	31,20 	17,10 	1,52 	12,54 	20,82 	10,20 	7,59 	1,38 	1
174 	2,01 	0,13 	36,92 	25,70 	35,80 	15,60 	2,41 	15,13 	26,56 	13,01 	7,54 	1,50 	1
175 	2,03 	0,35 	44,55 	27,55 	34,90 	20,20 	2,21 	13,06 	22,07 	10,81 	7,50 	1,32 	1
176 	2,05 	0,24 	64,88 	24,05 	29,10 	19,00 	1,09 	15,48 	25,21 	12,35 	7,45 	1,32 	1
177 	2,08 	0,49 	59,79 	23,70 	29,90 	17,50 	1,25 	12,82 	20,98 	10,28 	7,42 	1,37 	1
178 	2,10 	0,40 	55,16 	23,50 	28,30 	18,70 	1,35 	12,31 	20,45 	10,02 	7,37 	1,43 	1
179 	2,12 	0,27 	63,14 	23,10 	27,20 	19,00 	1,07 	6,67 	9,34 	4,58 	7,33 	1,22 	1
181 	2,16 	0,03 	77,09 	23,90 	29,50 	18,30 	0,71 	11,95 	17,79 	8,72 	8,80 	1,40 	1
182 	2,18 	0,01 	61,06 	24,00 	31,60 	16,40 	1,27 	18,28 	29,02 	14,22 	9,29 	1,68 	1
183 	2,20 	0,01 	54,38 	25,35 	33,60 	17,10 	1,63 	17,63 	28,42 	13,93 	9,31 	1,78 	1
184 	2,22 	0,08 	45,81 	27,25 	35,80 	18,70 	2,18 	16,86 	27,82 	13,63 	9,22 	1,78 	1
185 	2,24 	0,06 	51,48 	26,60 	34,50 	18,70 	1,85 	11,90 	18,91 	9,27 	9,06 	1,59 	1
186 	2,26 	0,22 	58,09 	25,50 	32,00 	19,00 	1,46 	13,22 	21,35 	10,46 	8,88 	1,68 	1
187 	2,28 	0,03 	54,63 	25,25 	34,10 	16,40 	1,64 	17,58 	28,58 	14,00 	8,71 	1,88 	1
188 	2,30 	0,10 	51,18 	26,70 	32,40 	21,00 	1,79 	12,41 	20,37 	9,98 	8,59 	1,71 	1
189 	2,32 	0,10 	67,55 	24,85 	28,00 	21,70 	1,03 	6,66 	9,22 	4,52 	8,50 	1,08 	1
191 	2,35 	0,03 	74,48 	24,75 	30,80 	18,70 	0,84 	12,03 	18,33 	8,98 	8,35 	1,58 	1
192 	2,37 	0,07 	68,04 	27,10 	33,60 	20,60 	1,22 	13,27 	20,54 	10,07 	8,28 	1,50 	1
193 	2,38 	0,08 	47,70 	27,90 	37,50 	18,30 	2,24 	16,43 	27,05 	13,26 	8,17 	1,90 	1
194 	2,40 	0,17 	40,03 	26,95 	37,10 	16,80 	2,47 	16,74 	28,54 	13,98 	8,05 	1,88 	1
195 	2,42 	0,13 	41,66 	26,60 	34,90 	18,30 	2,24 	13,41 	23,16 	11,35 	7,95 	1,80 	1
196 	2,43 	0,08 	63,01 	24,35 	30,80 	17,90 	1,20 	12,98 	21,02 	10,30 	7,81 	1,63 	1
197 	2,44 	0,15 	65,67 	23,10 	29,10 	17,10 	1,03 	15,88 	25,91 	12,70 	7,71 	1,67 	1
198 	2,46 	0,17 	56,50 	24,75 	30,80 	18,70 	1,44 	15,00 	24,94 	12,22 	7,60 	1,71 	1
199 	2,47 	0,11 	55,27 	24,25 	29,50 	19,00 	1,41 	12,15 	20,18 	9,89 	7,48 	1,65 	1
200 	2,49 	0,03 	54,55 	25,30 	31,60 	19,00 	1,56 	12,78 	21,21 	10,39 	7,37 	1,67 	1
201 	2,50 	0,10 	51,01 	26,50 	32,80 	20,20 	1,80 	13,51 	22,64 	11,09 	7,27 	1,61 	1
202 	2,51 	0,02 	58,12 	26,45 	30,40 	22,50 	1,48 	7,70 	10,98 	5,38 	7,15 	1,32 	1
204 	2,53 	0,01 	61,02 	23,60 	30,80 	16,40 	1,23 	16,27 	26,74 	13,10 	7,02 	1,75 	1
205 	2,55 	0,01 	63,48 	22,35 	28,70 	16,00 	1,05 	12,26 	20,15 	9,87 	6,98 	1,75 	1
207 	2,57 	0,03 	73,97 	24,65 	29,50 	19,80 	0,84 	10,10 	14,91 	7,30 	6,93 	1,39 	1
208 	2,58 	0,01 	72,70 	26,25 	31,20 	21,30 	0,97 	9,34 	13,44 	6,58 	6,91 	1,39 	1
209 	2,59 	0,04 	73,71 	25,90 	31,20 	20,60 	0,92 	8,11 	11,41 	5,59 	6,87 	1,28 	1
210 	2,60 	0,03 	75,87 	25,70 	31,60 	19,80 	0,84 	12,62 	19,48 	9,55 	7,50 	1,61 	1
211 	2,61 	0,03 	70,82 	27,85 	33,20 	22,50 	1,14 	13,80 	21,17 	10,37 	8,08 	1,61 	1
213 	2,63 	0,01 	72,66 	24,45 	28,70 	20,20 	0,86 	9,39 	13,53 	6,63 	8,45 	1,51 	1
214 	2,63 	0,01 	74,95 	25,05 	29,50 	20,60 	0,82 	10,68 	15,86 	7,77 	8,55 	1,54 	1
215 	2,64 	0,01 	66,25 	25,70 	32,00 	19,40 	1,18 	13,94 	22,20 	10,88 	8,60 	1,81 	1
216 	2,65 	0,01 	65,77 	26,10 	32,00 	20,20 	1,22 	14,24 	22,73 	11,14 	8,53 	1,86 	1
217 	2,66 	0,01 	59,61 	25,90 	32,80 	19,00 	1,45 	15,80 	25,69 	12,59 	8,39 	2,04 	1
218 	2,67 	0,03 	62,80 	26,70 	32,80 	20,60 	1,38 	12,95 	20,86 	10,22 	8,20 	1,88 	1
219 	2,67 	0,14 	57,82 	26,70 	32,40 	21,00 	1,55 	14,30 	23,63 	11,58 	8,04 	1,99 	1
220 	2,68 	0,01 	56,73 	27,55 	34,10 	21,00 	1,70 	14,12 	23,24 	11,39 	7,88 	1,98 	1
221 	2,69 	0,03 	55,86 	28,05 	33,60 	22,50 	1,75 	12,60 	20,79 	10,19 	7,69 	1,84 	1
222 	2,69 	0,01 	50,85 	26,30 	32,80 	19,80 	1,79 	12,00 	20,50 	10,04 	7,51 	1,99 	1
223 	2,70 	0,11 	41,62 	24,80 	33,20 	16,40 	2,03 	15,19 	26,89 	13,18 	7,30 	2,23 	1
224 	2,71 	0,13 	50,89 	26,30 	32,00 	20,60 	1,76 	9,37 	14,79 	7,25 	7,12 	1,84 	1
225 	2,71 	0,01 	61,78 	24,65 	29,10 	20,20 	1,22 	7,27 	10,49 	5,14 	6,99 	1,65 	1
226 	2,72 	0,03 	57,21 	25,70 	30,80 	20,60 	1,47 	9,73 	15,43 	7,56 	6,89 	1,89 	1
227 	2,72 	0,01 	75,44 	22,55 	27,60 	17,50 	0,70 	8,59 	12,67 	6,21 	6,79 	1,37 	1
228 	2,73 	0,01 	60,19 	24,00 	32,00 	16,00 	1,31 	15,68 	26,13 	12,80 	6,70 	2,01 	1
229 	2,73 	0,22 	59,20 	23,80 	31,60 	16,00 	1,32 	13,38 	22,69 	11,12 	6,60 	2,03 	1
232 	2,75 	0,01 	71,83 	23,70 	29,50 	17,90 	0,87 	13,42 	22,09 	10,82 	6,48 	1,67 	1
233 	2,75 	0,01 	66,86 	24,00 	31,20 	16,80 	1,07 	13,02 	21,63 	10,60 	6,44 	1,84 	1
234 	2,76 	0,06 	40,49 	19,85 	26,80 	12,90 	1,49 	14,66 	27,17 	13,31 	6,40 	2,16 	1
267 	2,84 	0,06 	69,20 	17,70 	26,00 	9,40 	0,70 	10,02 	18,95 	9,29 	7,14 	1,98 	1
271 	2,84 	0,21 	59,66 	13,35 	20,20 	6,50 	0,67 	9,98 	20,36 	9,98 	6,97 	1,98 	1
274 	2,85 	0,01 	62,33 	12,85 	22,50 	3,20 	0,66 	10,06 	19,91 	9,75 	6,97 	1,86 	1
275 	2,85 	0,01 	60,92 	13,80 	24,00 	3,60 	0,74 	9,43 	18,95 	9,29 	6,95 	1,79 	1
276 	2,85 	0,01 	64,98 	16,25 	24,80 	7,70 	0,73 	7,93 	16,00 	7,84 	6,95 	1,76 	1
277 	2,85 	0,01 	58,03 	15,65 	25,60 	5,70 	0,88 	9,06 	18,57 	9,10 	6,95 	1,88 	1
121 	0,60 	0,48 	30,31 	18,38 	28,20 	8,60 	1,72 	8,82 	19,92 	9,76 	7,22 	1,17 	2
122 	0,63 	0,63 	42,14 	17,52 	27,80 	8,20 	1,40 	8,74 	18,21 	8,92 	7,22 	1,20 	2
123 	0,65 	0,42 	43,03 	19,08 	29,30 	8,40 	1,48 	10,66 	24,40 	11,95 	7,22 	1,21 	2
124 	0,68 	0,86 	34,77 	21,06 	29,20 	11,60 	1,77 	9,45 	20,96 	10,27 	7,22 	1,14 	2
125 	0,71 	1,08 	35,54 	21,32 	28,30 	12,80 	1,72 	9,48 	20,94 	10,26 	7,21 	1,09 	2
129 	0,82 	1,10 	51,71 	15,35 	21,00 	10,00 	0,90 	10,88 	24,32 	11,92 	7,18 	1,12 	2
130 	0,85 	0,56 	41,39 	16,07 	27,20 	4,00 	1,30 	11,15 	26,23 	12,85 	7,16 	1,24 	2
131 	0,88 	0,50 	34,59 	18,92 	32,10 	5,50 	1,86 	10,99 	25,92 	12,70 	7,15 	1,21 	2
132 	0,91 	0,51 	32,48 	21,03 	33,60 	7,40 	2,10 	10,55 	23,93 	11,72 	7,16 	1,23 	2
133 	0,95 	0,59 	32,35 	22,53 	31,40 	12,50 	2,04 	9,40 	20,14 	9,87 	7,15 	1,18 	2
134 	0,98 	0,76 	15,87 	23,62 	30,80 	16,70 	2,67 	8,59 	21,10 	10,34 	7,14 	1,09 	2
135 	1,02 	0,92 	24,83 	23,74 	27,90 	19,10 	2,24 	6,19 	12,07 	5,91 	7,14 	1,07 	2
136 	1,05 	0,95 	39,49 	20,16 	23,00 	16,00 	1,40 	5,56 	4,53 	2,22 	7,12 	1,05 	2
137 	1,09 	0,54 	66,70 	19,06 	24,40 	14,10 	0,78 	7,85 	14,91 	7,31 	7,10 	1,39 	2
138 	1,12 	0,81 	52,01 	21,24 	29,80 	13,70 	1,38 	11,41 	23,36 	11,45 	7,08 	1,24 	2
139 	1,16 	1,02 	29,96 	19,90 	25,80 	12,80 	1,68 	10,45 	24,73 	12,12 	7,06 	1,11 	2
140 	1,20 	0,56 	26,56 	21,27 	33,70 	6,20 	2,27 	10,44 	24,02 	11,77 	7,03 	1,31 	2
141 	1,24 	0,65 	25,26 	27,17 	35,90 	19,90 	3,08 	9,52 	20,86 	10,22 	7,01 	1,00 	2
142 	1,27 	0,55 	37,33 	24,09 	32,70 	15,90 	2,12 	7,72 	15,39 	7,54 	6,99 	1,18 	2
143 	1,31 	0,75 	49,65 	23,52 	29,90 	19,20 	1,62 	10,18 	19,71 	9,66 	6,96 	1,21 	2
146 	1,43 	0,51 	63,27 	23,11 	29,40 	17,20 	1,11 	9,70 	17,97 	8,80 	6,87 	1,31 	2
147 	1,48 	0,79 	50,34 	24,83 	32,30 	17,80 	1,71 	11,06 	21,37 	10,47 	6,86 	1,31 	2
148 	1,52 	1,26 	53,81 	18,08 	24,40 	11,80 	1,03 	8,54 	16,70 	8,18 	6,84 	1,32 	2
149 	1,56 	0,49 	32,01 	19,09 	26,20 	10,20 	1,58 	10,81 	24,63 	12,07 	6,80 	1,51 	2
150 	1,60 	0,47 	36,80 	20,57 	30,70 	7,60 	1,73 	11,64 	26,25 	12,86 	6,77 	1,53 	2
151 	1,64 	0,38 	33,77 	23,68 	31,70 	15,20 	2,12 	8,95 	18,26 	8,95 	6,75 	1,34 	2
152 	1,69 	0,58 	37,10 	23,90 	33,70 	12,30 	2,10 	10,23 	20,68 	10,14 	6,71 	1,40 	2
153 	1,73 	0,75 	31,97 	25,59 	35,60 	15,50 	2,58 	10,89 	23,25 	11,39 	6,68 	1,44 	2
154 	1,77 	0,80 	36,35 	26,57 	34,30 	18,90 	2,42 	10,82 	22,19 	10,87 	6,65 	1,36 	2
155 	1,81 	1,40 	36,38 	28,79 	35,00 	22,10 	2,63 	11,33 	23,53 	11,53 	6,61 	1,35 	2
156 	1,86 	1,31 	31,08 	28,64 	34,10 	23,70 	2,85 	10,45 	21,92 	10,74 	6,58 	1,40 	2
157 	1,90 	0,92 	63,15 	24,65 	31,50 	20,10 	1,28 	7,75 	13,95 	6,83 	6,54 	1,46 	2
158 	1,94 	0,49 	62,23 	25,02 	33,70 	17,30 	1,36 	13,01 	24,58 	12,05 	6,51 	1,51 	2
159 	1,98 	0,76 	68,10 	22,79 	30,50 	16,40 	0,99 	6,81 	11,39 	5,58 	6,46 	1,36 	2
160 	2,02 	1,30 	60,32 	19,58 	25,80 	14,30 	0,98 	11,53 	22,42 	10,98 	6,42 	1,62 	2
161 	2,07 	0,71 	44,33 	19,14 	26,10 	11,10 	1,31 	11,28 	23,63 	11,58 	6,36 	1,66 	2
162 	2,11 	0,76 	41,85 	19,99 	27,60 	11,70 	1,47 	11,52 	24,67 	12,09 	6,32 	1,58 	2
163 	2,15 	1,03 	37,56 	22,90 	30,90 	13,20 	1,87 	11,49 	24,75 	12,13 	6,29 	1,49 	2
164 	2,19 	1,35 	32,73 	25,46 	31,10 	18,70 	2,24 	11,00 	23,86 	11,69 	6,26 	1,49 	2
165 	2,23 	1,29 	39,88 	26,44 	31,90 	20,90 	2,16 	10,72 	21,40 	10,49 	6,23 	1,48 	2
166 	2,27 	1,22 	41,45 	27,92 	33,20 	22,30 	2,28 	11,44 	22,90 	11,22 	6,20 	1,45 	2
167 	2,31 	0,81 	57,82 	25,94 	29,30 	22,30 	1,43 	6,64 	11,06 	5,42 	6,16 	1,27 	2
168 	2,35 	0,46 	56,02 	26,59 	32,90 	19,00 	1,58 	10,19 	18,74 	9,18 	6,11 	1,38 	2
169 	2,39 	0,68 	42,54 	26,73 	30,40 	23,50 	2,08 	6,38 	10,67 	5,23 	6,05 	1,11 	2
170 	2,42 	0,42 	71,40 	21,31 	25,10 	19,10 	0,77 	6,05 	2,62 	1,29 	6,03 	0,67 	2
175 	2,60 	0,43 	67,32 	24,34 	32,70 	17,70 	1,14 	10,22 	18,23 	8,93 	7,28 	1,46 	2
176 	2,63 	0,40 	64,99 	24,43 	33,90 	17,30 	1,27 	11,76 	20,95 	10,27 	7,17 	1,54 	2
177 	2,67 	0,52 	56,09 	25,67 	35,20 	17,00 	1,67 	12,53 	23,58 	11,55 	7,10 	1,65 	2
178 	2,70 	0,49 	48,58 	26,43 	36,10 	16,20 	2,01 	12,73 	25,42 	12,46 	7,01 	1,65 	2
179 	2,73 	0,98 	39,26 	29,49 	37,20 	20,20 	2,65 	12,11 	24,91 	12,21 	6,90 	1,54 	2
180 	2,76 	1,25 	37,37 	30,49 	35,90 	24,80 	2,83 	11,99 	24,98 	12,24 	6,77 	1,51 	2
181 	2,79 	1,11 	49,96 	29,11 	34,10 	25,40 	2,15 	9,74 	17,98 	8,81 	6,63 	1,54 	2
182 	2,82 	1,05 	65,17 	27,27 	33,40 	22,50 	1,37 	8,83 	15,80 	7,74 	6,51 	1,49 	2
183 	2,85 	0,74 	55,28 	25,05 	32,50 	17,90 	1,55 	12,78 	25,38 	12,43 	6,40 	1,70 	2
184 	2,87 	0,77 	64,98 	24,78 	34,30 	17,60 	1,30 	11,55 	20,50 	10,05 	6,29 	1,63 	2
185 	2,90 	0,57 	74,38 	25,43 	32,90 	19,30 	0,93 	11,59 	20,03 	9,81 	6,20 	1,63 	2
186 	2,93 	0,54 	54,58 	27,16 	35,40 	18,50 	1,79 	13,10 	25,75 	12,62 	6,13 	1,49 	2
187 	2,95 	0,85 	56,62 	27,46 	34,80 	18,50 	1,67 	12,87 	24,78 	12,14 	6,04 	1,50 	2
188 	2,97 	1,09 	67,44 	27,37 	38,95 	20,60 	1,53 	13,10 	22,30 	10,93 	5,96 	1,54 	2
197 	3,16 	0,42 	69,81 	23,85 	30,20 	18,10 	0,96 	13,21 	25,78 	12,63 	8,87 	1,90 	2
198 	3,18 	0,64 	80,12 	23,81 	29,80 	18,00 	0,62 	9,76 	17,26 	8,46 	8,72 	1,90 	2
200 	3,21 	0,44 	71,79 	24,35 	30,90 	19,80 	0,96 	13,16 	24,97 	12,23 	8,92 	1,95 	2
201 	3,22 	0,47 	73,28 	24,67 	32,40 	17,50 	0,92 	13,22 	24,79 	12,15 	8,86 	1,95 	2
202 	3,24 	0,67 	75,22 	25,42 	29,80 	20,30 	0,81 	9,79 	17,41 	8,53 	8,77 	1,86 	2
203 	3,25 	0,71 	77,73 	22,52 	25,30 	19,00 	0,60 	6,91 	12,03 	5,89 	8,70 	1,72 	2
204 	3,27 	0,52 	79,22 	23,06 	30,50 	16,30 	0,65 	13,17 	24,83 	12,16 	8,63 	2,01 	2
205 	3,28 	0,40 	76,89 	24,86 	31,00 	19,00 	0,77 	10,55 	18,52 	9,08 	8,57 	1,92 	2
211 	3,35 	0,94 	81,58 	23,84 	31,40 	18,80 	0,62 	12,33 	21,92 	10,74 	10,58 	1,92 	2
212 	3,36 	0,45 	75,92 	24,46 	31,30 	17,00 	0,78 	11,72 	21,23 	10,40 	10,75 	1,96 	2
213 	3,37 	0,72 	63,39 	25,87 	32,60 	19,00 	1,30 	12,42 	24,60 	12,05 	10,84 	1,96 	2
214 	3,38 	0,94 	76,24 	25,15 	33,00 	17,10 	0,83 	12,41 	22,69 	11,12 	10,80 	2,01 	2
216 	3,39 	0,89 	70,52 	26,13 	33,80 	19,30 	1,11 	12,80 	24,45 	11,98 	10,87 	2,14 	2
217 	3,40 	0,81 	73,95 	27,47 	33,90 	20,50 	1,00 	12,73 	23,46 	11,49 	11,16 	2,06 	2
218 	3,41 	0,62 	80,69 	25,02 	32,10 	20,90 	0,70 	8,84 	15,51 	7,60 	11,42 	1,73 	2
221 	3,43 	0,53 	81,67 	23,76 	31,90 	17,80 	0,62 	12,46 	23,06 	11,30 	12,33 	1,90 	2
222 	3,44 	0,61 	73,75 	25,65 	33,30 	18,00 	0,94 	12,40 	23,62 	11,58 	12,27 	2,06 	2
225 	3,45 	0,55 	78,71 	25,92 	31,70 	20,90 	0,76 	11,59 	20,87 	10,23 	12,04 	1,90 	2
226 	3,46 	0,61 	76,34 	27,20 	33,10 	21,50 	0,90 	11,62 	20,83 	10,21 	11,84 	1,94 	2
227 	3,46 	0,75 	71,16 	28,65 	34,70 	22,60 	1,19 	11,79 	21,43 	10,50 	11,64 	2,04 	2
228 	3,47 	0,64 	58,74 	28,14 	34,60 	23,20 	1,72 	10,18 	18,96 	9,29 	11,43 	2,09 	2
229 	3,47 	0,56 	53,89 	24,97 	32,70 	18,70 	1,64 	10,91 	23,32 	11,43 	11,19 	2,25 	2
230 	3,48 	0,52 	60,36 	24,67 	32,80 	18,90 	1,42 	10,27 	19,92 	9,76 	10,97 	2,21 	2
231 	3,48 	0,72 	63,10 	24,94 	31,30 	18,50 	1,24 	10,24 	19,99 	9,79 	10,76 	2,14 	2
232 	3,49 	0,89 	59,64 	26,11 	31,00 	21,60 	1,43 	9,53 	18,36 	9,00 	10,53 	2,10 	2
233 	3,49 	0,72 	59,58 	27,02 	32,20 	22,90 	1,54 	10,05 	19,44 	9,53 	10,30 	2,02 	2
234 	3,49 	0,56 	66,41 	26,48 	32,20 	20,70 	1,22 	9,70 	18,08 	8,86 	10,08 	2,05 	2
245 	3,53 	0,50 	65,87 	21,29 	29,20 	15,50 	0,99 	9,71 	20,98 	10,28 	9,62 	1,99 	2
246 	3,53 	0,47 	72,78 	19,94 	27,00 	13,60 	0,70 	8,52 	16,99 	8,32 	9,50 	1,98 	2
249 	3,53 	0,37 	68,51 	18,44 	28,70 	9,90 	0,81 	9,54 	21,62 	10,59 	9,21 	1,88 	2
250 	3,54 	0,51 	64,11 	19,73 	28,20 	10,60 	0,92 	8,84 	19,63 	9,62 	9,08 	1,92 	2
251 	3,54 	0,55 	66,98 	19,92 	24,90 	16,40 	0,83 	6,39 	12,99 	6,37 	8,93 	1,80 	2
253 	3,54 	0,56 	75,25 	18,68 	26,80 	12,70 	0,62 	9,07 	19,88 	9,74 	8,67 	1,90 	2
254 	3,54 	0,50 	63,66 	19,75 	29,10 	11,30 	0,98 	9,04 	21,68 	10,62 	8,55 	1,91 	2
255 	3,54 	0,72 	70,09 	21,10 	29,80 	15,70 	0,89 	8,29 	16,90 	8,28 	8,42 	1,73 	2
256 	3,55 	0,55 	63,80 	21,77 	32,20 	13,90 	1,16 	8,79 	19,34 	9,48 	8,32 	1,68 	2
257 	3,55 	0,42 	61,16 	20,38 	29,30 	12,80 	1,08 	7,81 	17,15 	8,40 	8,18 	1,84 	2
271 	3,56 	0,32 	75,09 	16,87 	27,50 	9,70 	0,61 	7,13 	16,63 	8,15 	10,71 	1,32 	2
272 	3,56 	0,54 	70,09 	18,08 	27,60 	10,30 	0,74 	6,96 	16,96 	8,31 	10,77 	1,32 	2
277 	3,56 	0,54 	74,00 	17,63 	26,60 	11,00 	0,62 	6,62 	16,74 	8,20 	10,97 	1,41 	2
278 	3,56 	0,47 	67,93 	17,49 	26,30 	9,70 	0,74 	6,18 	16,21 	7,94 	10,96 	1,31 	2
279 	3,56 	0,65 	66,74 	18,08 	24,50 	13,10 	0,76 	5,45 	13,35 	6,54 	10,90 	1,27 	2
282 	3,56 	0,56 	70,45 	18,36 	26,60 	10,80 	0,71 	5,85 	15,29 	7,49 	10,86 	1,34 	2
283 	3,57 	0,63 	58,84 	14,30 	22,40 	7,80 	0,78 	5,29 	17,49 	8,57 	10,86 	1,35 	2
131 	0,57 	0,63 	61,81 	14,52 	22,40 	7,50 	0,72 	10,38 	21,15 	10,36 	10,73 	0,67 	3
132 	0,58 	0,65 	56,06 	16,62 	26,00 	5,20 	0,93 	11,57 	25,59 	12,54 	10,84 	0,68 	3
133 	0,59 	0,84 	47,04 	19,24 	27,50 	12,40 	1,35 	9,32 	18,85 	9,24 	10,91 	0,65 	3
134 	0,60 	1,14 	27,12 	15,57 	21,30 	11,00 	1,40 	9,28 	21,37 	10,47 	10,95 	0,58 	3
135 	0,61 	0,50 	44,09 	17,13 	27,40 	5,90 	1,28 	11,11 	24,93 	12,22 	10,95 	0,56 	3
136 	0,63 	0,45 	45,10 	18,86 	28,50 	9,20 	1,39 	10,53 	22,19 	10,87 	10,94 	0,55 	3
137 	0,64 	0,68 	45,32 	19,29 	27,30 	10,00 	1,33 	10,59 	22,45 	11,00 	10,92 	0,80 	3
